count,holiday,workingday,temp,humidity,windspeed,hour,year,Clear,Mist,LightSnow,HeavyRain,spring,summer,fall,winter
16,0,0,9.840,81,0.000,0,2011,1,0,0,0,1,0,0,0
40,0,0,9.020,80,0.000,1,2011,1,0,0,0,1,0,0,0
32,0,0,9.020,80,0.000,2,2011,1,0,0,0,1,0,0,0
13,0,0,9.840,75,0.000,3,2011,1,0,0,0,1,0,0,0
1,0,0,9.840,75,0.000,4,2011,1,0,0,0,1,0,0,0
1,0,0,9.840,75,6.003,5,2011,0,1,0,0,1,0,0,0
2,0,0,9.020,80,0.000,6,2011,1,0,0,0,1,0,0,0
3,0,0,8.200,86,0.000,7,2011,1,0,0,0,1,0,0,0
8,0,0,9.840,75,0.000,8,2011,1,0,0,0,1,0,0,0
14,0,0,13.120,76,0.000,9,2011,1,0,0,0,1,0,0,0
36,0,0,15.580,76,16.998,10,2011,1,0,0,0,1,0,0,0
56,0,0,14.760,81,19.001,11,2011,1,0,0,0,1,0,0,0
84,0,0,17.220,77,19.001,12,2011,1,0,0,0,1,0,0,0
94,0,0,18.860,72,20.000,13,2011,0,1,0,0,1,0,0,0
106,0,0,18.860,72,19.001,14,2011,0,1,0,0,1,0,0,0
110,0,0,18.040,77,20.000,15,2011,0,1,0,0,1,0,0,0
93,0,0,17.220,82,20.000,16,2011,0,1,0,0,1,0,0,0
67,0,0,18.040,82,19.001,17,2011,0,1,0,0,1,0,0,0
35,0,0,17.220,88,16.998,18,2011,0,0,1,0,1,0,0,0
37,0,0,17.220,88,16.998,19,2011,0,0,1,0,1,0,0,0
36,0,0,16.400,87,16.998,20,2011,0,1,0,0,1,0,0,0
34,0,0,16.400,87,12.998,21,2011,0,1,0,0,1,0,0,0
28,0,0,16.400,94,15.001,22,2011,0,1,0,0,1,0,0,0
39,0,0,18.860,88,20.000,23,2011,0,1,0,0,1,0,0,0
17,0,0,18.860,88,20.000,0,2011,0,1,0,0,1,0,0,0
17,0,0,18.040,94,16.998,1,2011,0,1,0,0,1,0,0,0
9,0,0,17.220,100,19.001,2,2011,0,1,0,0,1,0,0,0
6,0,0,18.860,94,12.998,3,2011,0,1,0,0,1,0,0,0
3,0,0,18.860,94,12.998,4,2011,0,1,0,0,1,0,0,0
2,0,0,17.220,77,20.000,6,2011,0,0,1,0,1,0,0,0
1,0,0,16.400,76,12.998,7,2011,0,1,0,0,1,0,0,0
8,0,0,16.400,71,15.001,8,2011,0,0,1,0,1,0,0,0
20,0,0,15.580,76,15.001,9,2011,0,1,0,0,1,0,0,0
53,0,0,14.760,81,15.001,10,2011,0,1,0,0,1,0,0,0
70,0,0,14.760,71,16.998,11,2011,0,1,0,0,1,0,0,0
93,0,0,14.760,66,20.000,12,2011,0,1,0,0,1,0,0,0
75,0,0,14.760,66,8.998,13,2011,0,1,0,0,1,0,0,0
59,0,0,14.760,76,12.998,14,2011,0,0,1,0,1,0,0,0
74,0,0,13.940,81,11.001,15,2011,0,0,1,0,1,0,0,0
76,0,0,13.940,71,11.001,16,2011,0,0,1,0,1,0,0,0
65,0,0,13.940,57,12.998,17,2011,1,0,0,0,1,0,0,0
53,0,0,14.760,46,22.003,18,2011,0,1,0,0,1,0,0,0
30,0,0,13.120,42,30.003,19,2011,1,0,0,0,1,0,0,0
22,0,0,12.300,39,23.999,20,2011,1,0,0,0,1,0,0,0
31,0,0,10.660,44,22.003,21,2011,1,0,0,0,1,0,0,0
9,0,0,9.840,44,20.000,22,2011,1,0,0,0,1,0,0,0
8,0,0,9.020,47,11.001,23,2011,1,0,0,0,1,0,0,0
5,0,1,9.020,44,23.999,0,2011,1,0,0,0,1,0,0,0
2,0,1,8.200,44,27.999,1,2011,1,0,0,0,1,0,0,0
1,0,1,6.560,47,26.003,4,2011,1,0,0,0,1,0,0,0
3,0,1,6.560,47,19.001,5,2011,1,0,0,0,1,0,0,0
30,0,1,5.740,50,26.003,6,2011,1,0,0,0,1,0,0,0
64,0,1,5.740,50,12.998,7,2011,1,0,0,0,1,0,0,0
154,0,1,5.740,50,19.001,8,2011,1,0,0,0,1,0,0,0
88,0,1,6.560,43,26.003,9,2011,1,0,0,0,1,0,0,0
44,0,1,7.380,43,16.998,10,2011,1,0,0,0,1,0,0,0
51,0,1,8.200,40,22.003,11,2011,1,0,0,0,1,0,0,0
61,0,1,9.020,35,20.000,12,2011,1,0,0,0,1,0,0,0
61,0,1,9.840,35,19.001,13,2011,1,0,0,0,1,0,0,0
77,0,1,10.660,30,19.001,14,2011,1,0,0,0,1,0,0,0
72,0,1,10.660,30,16.998,15,2011,1,0,0,0,1,0,0,0
76,0,1,10.660,30,16.998,16,2011,1,0,0,0,1,0,0,0
157,0,1,9.840,30,15.001,17,2011,1,0,0,0,1,0,0,0
157,0,1,9.840,32,7.002,18,2011,1,0,0,0,1,0,0,0
110,0,1,8.200,47,0.000,19,2011,1,0,0,0,1,0,0,0
52,0,1,8.200,47,7.002,20,2011,1,0,0,0,1,0,0,0
52,0,1,7.380,64,8.998,21,2011,1,0,0,0,1,0,0,0
20,0,1,5.740,69,8.998,22,2011,1,0,0,0,1,0,0,0
12,0,1,7.380,55,7.002,23,2011,1,0,0,0,1,0,0,0
5,0,1,6.560,55,7.002,0,2011,1,0,0,0,1,0,0,0
2,0,1,6.560,59,7.002,1,2011,1,0,0,0,1,0,0,0
1,0,1,5.740,63,8.998,2,2011,1,0,0,0,1,0,0,0
2,0,1,5.740,63,6.003,4,2011,1,0,0,0,1,0,0,0
4,0,1,4.920,68,7.002,5,2011,1,0,0,0,1,0,0,0
36,0,1,4.920,74,7.002,6,2011,1,0,0,0,1,0,0,0
94,0,1,4.920,74,8.998,7,2011,1,0,0,0,1,0,0,0
